1,Cowboy Bebop,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",26,Bandai Visual,2023-02-17
5,Cowboy Bebop: Tengoku no Tobira,8.39,"Action, Drama, Mystery, Sci-Fi, Space",1,"Sunrise, Bandai Visual",2023-02-17
6,Trigun,8.24,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",26,Victor Entertainment,2023-02-17
7,Witch Hunter Robin,7.27,"Action, Mystery, Police, Supernatural, Drama, Magic",26,"TV Tokyo, Bandai Visual, Dentsu, Victor Entertainment",2023-02-17
8,Bouken Ou Beet,6.98,"Adventure, Fantasy, Shounen, Supernatural",52,"TV Tokyo, Dentsu",2023-02-17
15,Eyeshield 21,7.95,"Action, Sports, Comedy, Shounen",145,"TV Tokyo, Nihon Ad Systems, TV Tokyo Music, Shueisha",2023-02-17
16,Hachimitsu to Clover,8.06,"Comedy, Drama, Josei, Romance, Slice of Life",24,"Genco, Fuji TV, Shueisha",2023-02-17
17,Hungry Heart: Wild Striker,7.59,"Slice of Life, Comedy, Sports, Shounen",52,Unknown,2023-02-17
18,Initial D Fourth Stage,8.15,"Action, Cars, Sports, Drama, Seinen",24,"OB Planning, Studio Jack",2023-02-17
19,Monster,8.76,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",74,"VAP, Shogakukan-Shueisha Productions, Nippon Television Network",2023-02-17
20,Naruto,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",220,"TV Tokyo, Aniplex, Shueisha",2023-02-17
21,One Piece,8.52,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",Unknown,"Fuji TV, TAP, Shueisha",2023-02-17
22,Tennis no Ouji-sama,7.9,"Action, Comedy, Sports, School, Shounen",178,"Production I.G, Nihon Ad Systems",2023-02-17
23,Ring ni Kakero 1,6.38,"Action, Shounen, Sports",12,Unknown,2023-02-17
24,School Rumble,7.94,"Comedy, Romance, School, Shounen",26,"TV Tokyo, Sotsu, Marvelous, Starchild Records, Media Factory, DAX Production, Studio Jack",2023-02-17
25,Sunabouzu,7.42,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",24,"GDH, Pony Canyon, CBC",2023-02-17
26,Texhnolyze,7.76,"Action, Sci-Fi, Psychological, Drama",22,"Group TAC, Rondo Robe, Fuji TV, Pioneer LDC",2023-02-17
27,Trinity Blood,7.32,"Action, Supernatural, Vampire",24,Unknown,2023-02-17
28,Yakitate!! Japan,7.95,"Comedy, Shounen",69,"TV Tokyo, Aniplex, d-rights, Tohokushinsha Film Corporation, Atelier Musa",2023-02-17
29,Zipang,7.51,"Action, Military, Sci-Fi, Historical, Drama, Seinen",26,"Marvelous, TBS",2023-02-17
30,Neon Genesis Evangelion,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",26,"TV Tokyo, Kadokawa Shoten, Nihon Ad Systems, Audio Tanaka",2023-02-17
31,Neon Genesis Evangelion: Death & Rebirth,7.45,"Drama, Mecha, Psychological, Sci-Fi",1,"Movic, Sega, TV Tokyo Music, Audio Tanaka",2023-02-17
32,Neon Genesis Evangelion: The End of Evangelion,8.51,"Sci-Fi, Dementia, Psychological, Drama, Mecha",1,"TV Tokyo, Toei Animation, Kadokawa Shoten, Movic, Sega, TV Tokyo Music, Audio Tanaka",2023-02-17
33,Kenpuu Denki Berserk,8.49,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",25,"VAP, Hakusensha, Nippon Television Network",2023-02-17
43,Koukaku Kidoutai,8.29,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",1,"Bandai Visual, Kodansha",2023-02-17
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.73,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",4,Aniplex,2023-02-17
45,Rurouni Kenshin: Meiji Kenkaku Romantan,8.31,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen",94,"Aniplex, SME Visual Works, Fuji TV",2023-02-17
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.56,"Samurai, Historical, Drama, Shounen",1,"Fuji TV, Sony Music Entertainment",2023-02-17
47,Akira,8.17,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen",1,"Mainichi Broadcasting System, Kodansha, Toho",2023-02-17
48,.hack//Sign,6.98,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",26,"Bandai Visual, Yomiko Advertising, Bandai, CyberConnect2",2023-02-17
49,Aa! Megami-sama!,7.32,"Comedy, Magic, Romance, Seinen, Supernatural",5,"Bandai Visual, KSS, Pony Canyon, TBS, Kodansha, Half H.P Studio, Nichion",2023-02-17
50,Aa! Megami-sama! (TV),7.35,"Comedy, Supernatural, Magic, Romance, Seinen",24,"Bandai Visual, TBS, Imagine",2023-02-17
51,Tenshi Kinryouku,6.31,"Action, Drama, Romance, Shoujo, Supernatural",3,"Bandai Visual, AIC, Lantis, Audio Tanaka",2023-02-17
52,Kidou Tenshi Angelic Layer,7.26,"Sci-Fi, Comedy, Sports, Drama, Shounen",26,TV Tokyo Music,2023-02-17
53,Ai Yori Aoshi,7.14,"Harem, Slice of Life, Comedy, Drama, Romance",24,"Movic, Fuji TV, Pioneer LDC, Cosmic Ray",2023-02-17
54,Appleseed (Movie),7.1,"Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen",1,"Mainichi Broadcasting System, Toho, TYO Animations, TYO",2023-02-17
55,Arc the Lad,6.53,"Action, Adventure, Fantasy, Horror, Sci-Fi",26,"Sony Pictures Entertainment, Aniplex",2023-02-17
56,Avenger,5.91,"Adventure, Fantasy, Sci-Fi, Shounen",13,Production I.G,2023-02-17
57,Beck,8.31,"Comedy, Drama, Music, Shounen, Slice of Life",26,"Marvelous, Starchild Records, Asatsu DK, Kodansha",2023-02-17
58,Blue Gender,7.05,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",26,"Youmex, Toshiba EMI",2023-02-17
59,Chobits,7.43,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",26,"TBS, Pioneer LDC",2023-02-17
60,Chrno Crusade,7.66,"Action, Demons, Historical, Romance, Shounen, Supernatural",24,"Lantis, Kadokawa Shoten, Fuji TV",2023-02-17
61,D.N.Angel,7.2,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo",26,Kadokawa Shoten,2023-02-17
62,D.C.: Da Capo,6.77,"Harem, Drama, Magic, Romance",26,"Lantis, King Records",2023-02-17
63,DearS,6.62,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen",12,"Bandai Visual, Hal Film Maker, Genco, Lantis",2023-02-17
64,Rozen Maiden,7.44,"Action, Comedy, Drama, Magic, Seinen",12,"Mellow Head, Pony Canyon, TBS, Memory-Tech, Studio Jack",2023-02-17
65,Rozen Maiden: Träumend,7.65,"Action, Comedy, Drama, Magic, Seinen",12,"Mellow Head, TBS",2023-02-17
66,Azumanga Daioh,7.98,"Slice of Life, Comedy, School",26,"Genco, Lantis, Imagica, TV Tokyo Music, Cosmic Ray, King Records",2023-02-17
67,Basilisk: Kouga Ninpou Chou,7.58,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy",24,"GDH, Kodansha, Sotsu Music Publishing",2023-02-17
68,Black Cat (TV),7.38,"Sci-Fi, Adventure, Comedy, Super Power, Shounen",23,"GDH, Dentsu, TBS, Sotsu Music Publishing",2023-02-17
69,Cluster Edge,6.35,"Action, Fantasy, Military, Sci-Fi",25,"Bandai Visual, Imagine",2023-02-17
71,Full Metal Panic!,7.65,"Action, Military, Sci-Fi, Comedy, Mecha",24,Kadokawa Shoten,2023-02-17
72,Full Metal Panic? Fumoffu,8.07,"Action, Comedy, School",12,"Tatsunoko Production, Kadokawa Shoten, Fuji TV, Imagica, Rakuonsha, Kadokawa Pictures Japan, KlockWorx, Happinet Pictures, Animation Do",2023-02-17
73,Full Metal Panic! The Second Raid,7.96,"Action, Military, Mecha",13,"Kadokawa Shoten, Happinet Pictures",2023-02-17
74,Gakuen Alice,7.65,"Comedy, School, Shoujo, Super Power",26,"Aniplex, Sogo Vision",2023-02-17
75,Soukyuu no Fafner: Dead Aggressor,7.3,"Action, Drama, Mecha, Military, Sci-Fi",25,"TV Tokyo Music, King Records",2023-02-17
76,Mahou Shoujo Lyrical Nanoha,7.42,"Action, Comedy, Drama, Magic, Super Power",13,"Starchild Records, Omnibus Japan",2023-02-17
77,Mahou Shoujo Lyrical Nanoha A's,7.99,"Action, Comedy, Drama, Magic, Super Power",13,"Starchild Records, Omnibus Japan",2023-02-17
79,Shuffle!,7.09,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen",24,"Xebec, Lantis, Memory-Tech",2023-02-17
80,Mobile Suit Gundam,7.78,"Action, Military, Sci-Fi, Space, Mecha",43,"Sotsu, Nagoya Broadcasting Network",2023-02-17
81,Mobile Suit Gundam: The 08th MS Team,8.03,"Adventure, Drama, Mecha, Military, Romance, Sci-Fi",12,Atelier Musa,2023-02-17
82,Mobile Suit Gundam 0080: War in the Pocket,7.9,"Military, Sci-Fi, Space, Drama, Mecha",6,Bandai Visual,2023-02-17
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,6.79,"Military, Sci-Fi, Drama, Romance, Mecha",1,"Sotsu, Atelier Musa",2023-02-17
84,Mobile Suit Gundam 0083: Stardust Memory,7.3,"Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",13,Bandai Visual,2023-02-17
85,Mobile Suit Zeta Gundam,7.92,"Military, Sci-Fi, Space, Drama, Romance, Mecha",50,"Sotsu, Nagoya Broadcasting Network",2023-02-17
86,Mobile Suit Gundam ZZ,6.66,"Space, Comedy, Mecha, Military, Drama, Sci-Fi",47,"Sotsu, Nagoya Broadcasting Network",2023-02-17
87,Mobile Suit Gundam: Char's Counterattack,7.68,"Military, Sci-Fi, Space, Drama, Mecha",1,"Sotsu, Nozomi Entertainment, Atelier Musa",2023-02-17
88,Mobile Suit Gundam F91,6.67,"Drama, Mecha, Military, Sci-Fi, Space",1,"Sotsu, Shochiku, Atelier Musa, Nagoya Broadcasting Network",2023-02-17
89,Mobile Suit Victory Gundam,6.76,"Drama, Mecha, Military, Sci-Fi, Space",51,"TV Asahi, Sotsu, Apollon",2023-02-17
90,Mobile Suit Gundam Wing,7.72,"Action, Military, Sci-Fi, Space, Drama, Mecha",49,TV Asahi,2023-02-17
91,Mobile Suit Gundam Wing: Endless Waltz,7.76,"Action, Drama, Mecha, Military, Sci-Fi, Space",3,"Bandai Visual, Sotsu",2023-02-17
92,After War Gundam X,7.32,"Sci-Fi, Adventure, Space, Drama, Mecha",39,"TV Asahi, Sotsu",2023-02-17
93,Mobile Suit Gundam SEED,7.79,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",50,"Sotsu, Asatsu DK, Mainichi Broadcasting System, Sony Music Entertainment, Atelier Musa",2023-02-17
94,Mobile Suit Gundam SEED Destiny,7.22,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",50,"Sotsu, Mainichi Broadcasting System, Sony Music Entertainment",2023-02-17
95,Turn A Gundam,7.7,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",50,"Sotsu, Fuji TV",2023-02-17
96,Mobile Fighter G Gundam,7.56,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports",49,"TV Asahi, Sotsu",2023-02-17
97,Last Exile,7.82,"Action, Sci-Fi, Adventure",26,"GDH, Victor Entertainment, TV Tokyo Music",2023-02-17
98,Mai-HiME,7.46,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai",26,"Bandai Visual, TV Tokyo Music, Studio Zain",2023-02-17
99,Mai-Otome,7.31,"Comedy, Drama, Fantasy, Magic",26,"Bandai Visual, Lantis, TV Tokyo Music",2023-02-17
100,Shin Shirayuki-hime Densetsu Prétear,7.2,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",13,"Kadokawa Shoten, Rondo Robe",2023-02-17
101,Air,7.32,"Slice of Life, Supernatural, Drama, Romance",12,"Pony Canyon, TBS, Movic",2023-02-17
102,Aishiteruze Baby★★,7.48,"Comedy, Drama, Romance, Shoujo",26,"Animax, Toei Video, Sunny Side Up",2023-02-17
103,Akazukin Chacha,7.39,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",74,"Nihon Ad Systems, Shueisha",2023-02-17
104,Ayashi no Ceres,7.23,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo",24,Bandai Visual,2023-02-17
105,Boys Be...,6.46,"Slice of Life, Comedy, Romance, Shounen",13,Unknown,2023-02-17
106,Hana yori Dango,7.7,"Drama, Romance, School, Shoujo",51,Unknown,2023-02-17
